#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL6096.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE50521_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 16743
#number of samples: 12
#Factor: Genotype (2 levels): 5xFAD: n=6, WT: n=6
#Factor: OrganismPart (1 levels): Hippocampus: n=12
#Factor: Batch (2 levels): batch_1_09_08_12: n=4, batch_2_10_08_12: n=8
#Factor: Gender (2 levels): F: n=4, M: n=8
#Factor: Timepoint (1 levels): 14-15_months: n=12
#
#
### Model test for factor: Genotype
#p-value: 2.21766760306588e-06; Statistic: 25.7448021215338; Expected: 9.09090909090909; Std.dev: 3.34104135665215; #Cov: 16743
### Model test for factor: Batch
#p-value: 0.971703961477814; Statistic: 4.9740649591946; Expected: 9.09090909090909; Std.dev: 3.34104135665215; #Cov: 16743
### Model test for factor: Gender
#p-value: 0.241450059946462; Statistic: 10.9229039087372; Expected: 9.09090909090909; Std.dev: 3.34104135665215; #Cov: 16743
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 16743
#number of samples: 12
### Model test for factor: Genotype
#p-value: 9.63642180561954e-08; Statistic: 29.1789614196051; Expected: 9.09090909090909; Std.dev: 3.69715185914816; #Cov: 16743
### Model test for factor: Batch
#p-value: 0.999999643303352; Statistic: 1.78211733966325; Expected: 9.09090909090909; Std.dev: 3.69715185914816; #Cov: 16743
### Model test for factor: Gender
#p-value: 0.143799650218863; Statistic: 12.7595417497692; Expected: 9.09090909090909; Std.dev: 3.69715185914816; #Cov: 16743
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE50521
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE50521/results/GSE50521_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#12 samples, 16743 probes
#coefficients: (Intercept), Genotype5xFAD
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotype5xFAD
#  DE genes: 1336, up: 915, down: 421
ProbeName	GeneSymbols	up
6789325	Cd68	2.09126413051554e-14
6926167	C1qa	4.70307810711434e-14
6959584	Tyrobp	9.67401520752268e-14
6926166	C1qc	1.07114711697913e-13
6784345	Grn	1.75887287012053e-13
6850834	Trem2	2.6157127100889e-13
6957410	Clec7a	4.76185696814187e-13
6790294	Ccl3	1.10651484761284e-12
6899683	Ctss	1.15130830036757e-12
6893630	Ctsz	1.30978281555074e-12
6850308	Olfr111|Olfr110	4.56834336647745e-12
6917120	Csf3r	6.17202197010221e-12
6850135	H2-L|H2-D1	6.44855230505105e-12
6917393	Laptm5	9.76758571700046e-12
6833513	Nckap1l	1.0166331923919e-11
6797579	Serpina3n	1.14466680043065e-11
6791641	Gfap	1.29201948720464e-11
6767782	Lilrb4	1.49801523629103e-11
6969753	Slco2b1	1.80747627887973e-11
6755210	Cd84	1.87158069574358e-11
6751344	Inpp5d	2.09954681053793e-11
6877990	Cybrd1	2.44124444884881e-11
6815345	Hexb	3.13613584928239e-11
6977797	Man2b1	3.23865470260037e-11
6750546	Slc11a1	3.3997415909615e-11
6926165	C1qb	3.8548360944155e-11
6934119	Hvcn1	5.26489557293117e-11
6979559	Irf8	5.46716341095331e-11
6831821	Cyth4	5.65137903657259e-11
6972294	Ctsd	5.70883992713386e-11
6957059	C3ar1	5.99629038109712e-11
6783040	Wfdc17	6.18297710255155e-11
6777309	Lyz2	7.13005435730294e-11
6768985	Itgb2	7.154452526807e-11
6942192	Gusb	7.68016974972109e-11
6833736	Osmr	9.77979696802795e-11
6791063	Abi3	1.04075276806804e-10
6861358	Csf1r	1.06111935137342e-10
6764040	Fcgr3	1.43194878946412e-10
6886045	Ggta1	1.51072814321324e-10
6786249	Plek	1.81230554425184e-10
6759664	Igfbp5	1.9159835429029e-10
6867615	Unc93b1	2.4756231586501e-10
6768157	4632428N05Rik	2.77556145037133e-10
6806245	Ly86	2.84649843060804e-10
6957185	Cd9	3.54914623582094e-10
6849951	Myo1f	4.0284907113784e-10
6780551	Havcr2	4.42258006212489e-10
6965982	Axl	5.7216840895659e-10
6875214	Plxdc2	6.32445587876468e-10
6925984	Cd52	6.97297416878006e-10
6838807	Gpr84	7.42490621549238e-10
6957144	Lag3	7.5819446793559e-10
6798285	Pld4	7.67845572931211e-10
6847972	Runx1	7.88927160957859e-10
6941183	Selplg	8.63305977676677e-10
6851322	Vav1	1.1354082249641e-09
6799897	Pik3cg	1.30686624358723e-09
6769597	Igf1	1.38731526113874e-09
6946055	Gpnmb	1.424833518784e-09
